12:48:55 | 200 |     129.791ms | 127.0.0.1 | POST | /api/auth/login | -
12:49:33 | 201 |    203.7238ms | 127.0.0.1 | POST | /api/admin/users | -
13:01:20 | 401 |       507.3µs | 127.0.0.1 | PUT | /api/admin/users/159d9471-6a63-4ba0-b778-d1529b49e860/036285f8-c16b-4a10-9ab6-cab1498cd347 | -
13:01:39 | 404 |            0s | 127.0.0.1 | PUT | /api/admin/users/159d9471-6a63-4ba0-b778-d1529b49e860/036285f8-c16b-4a10-9ab6-cab1498cd347 | Cannot PUT /api/admin/users/159d9471-6a63-4ba0-b778-d1529b49e860/036285f8-c16b-4a10-9ab6-cab1498cd347
13:01:53 | 500 |     33.8624ms | 127.0.0.1 | PUT | /api/admin/users/159d9471-6a63-4ba0-b778-d1529b49e860/ | -
13:05:07 | 200 |     11.7495ms | 127.0.0.1 | PUT | /api/admin/users/23649528-cd27-40b8-a270-44563b0a8633 | -
15:13:25 | 200 |    113.1021ms | 127.0.0.1 | POST | /api/auth/login | -
15:13:59 | 400 |      1.5557ms | 127.0.0.1 | POST | /api/admin/users | -
15:15:19 | 500 |     96.8478ms | 127.0.0.1 | POST | /api/admin/users | -
15:18:08 | 200 |    189.9855ms | 127.0.0.1 | POST | /api/auth/login | -
15:19:10 | 400 |      3.2682ms | 127.0.0.1 | POST | /api/admin/users | -
15:33:56 | 200 |     74.3375ms | 127.0.0.1 | POST | /api/auth/login | -
15:36:27 | 500 |     85.6735ms | 127.0.0.1 | POST | /api/admin/users | -
15:45:00 | 200 |     93.4088ms | 127.0.0.1 | POST | /api/auth/login | -
15:47:46 | 201 |      79.942ms | 127.0.0.1 | POST | /api/admin/users | -
15:52:33 | 200 |     80.2419ms | 127.0.0.1 | POST | /api/auth/login | -
15:53:31 | 201 |     79.4611ms | 127.0.0.1 | POST | /api/admin/users | -
16:02:23 | 200 |     129.045ms | 127.0.0.1 | POST | /api/auth/login | -
16:03:12 | 201 |    134.6959ms | 127.0.0.1 | POST | /api/admin/users | -
17:07:41 | 200 |    150.5983ms | 127.0.0.1 | POST | /api/auth/login | -
17:08:06 | 201 |     153.554ms | 127.0.0.1 | POST | /api/admin/users | -
17:17:29 | 200 |    201.8047ms | 127.0.0.1 | POST | /api/auth/login | -
17:17:52 | 201 |    327.9778ms | 127.0.0.1 | POST | /api/admin/users | -
17:24:55 | 401 |            0s | 127.0.0.1 | POST | /api/admin/users | -
17:25:19 | 400 |            0s | 127.0.0.1 | POST | /api/admin/users | -
17:25:59 | 400 |    215.0293ms | 127.0.0.1 | POST | /api/admin/users | -
17:26:49 | 400 |       344.5µs | 127.0.0.1 | POST | /api/admin/users | -
